id,区分,タスク,いつ,何をしているか,なぜ_誰のため,いまの担当,やり方,ツール,所要分,属人度,手で同じことができるか,習得,判断,期限,出典,メモ
WM-13,当日朝,欠席のスライド反映,朝礼前,欠席（メンバー／ビジター／ゲスト）を受けてスライドを直し、WMスレッドに更新を流す,当日の正確な紹介,倉持,手作業,PowerPoint / 当日スレッド,,中,できる,倉持のまま,未決,,工藤さん会,工藤時代はバイス／メンシがスレッドに必ず上げた
WM-14,会後,動画自動切り出し,レコーディング終了後,MP／Edu／ウィークリー／SSを切り出してNextCloudへ上げる,あとから見返す。実視聴は不明,倉持（Pipeline）,自動,Claude Code / NextCloud / Zoom,,高,できる（毎週手で切る）,倉持のまま,未決,,2026-08-22棚卸し,工藤案は縮小〜廃止。増本さんは誰も見ていない。稼働中なので今夜はやめない
WM-15,会後,Facebookグループ投稿,会後,切り出し動画等をFBへ載せる,メンバーへの共有,倉持,手作業,Facebook,,中,できる,倉持のまま,未決,,2026-08-22棚卸し,自動化の例外。ここだけ手動
WM-16,不定期,NextCloudアカウント発行,入会時,アカウント作成と初期パスワード通知,新メンバーが資料に触れる,倉持,手作業,NextCloud,,中,できる,倉持のまま,未決,,2026-08-22棚卸し,本来はメンシまたはバイスだがルール無し
WM-17,不定期,NextCloud権限・タグ,入会／退会／期末,ドラゴンフライタグ、メンシフォルダ（5名）の付け外し,資料の閲覧範囲,倉持,手作業,NextCloud,,中,できる,倉持のまま,未決,9月末（メンシ移譲）,2026-08-22棚卸し,退会者の外し忘れは実害小、という判断
WM-18,基盤,Zoom二段階認証,常時／9月末切替,SMSの電話番号管理。いまは倉持さん,チャプターZoomに入れる,倉持,手作業,Zoom / SMS,,高,できる（番号変更）,倉持のまま,未決,9月末〜10月頭,2026-08-22棚卸し,次廣の番号へ変更予定
WM-19,基盤,チャプターGmail,常時,Zoom・カレンダーの親アカウント,WMがログインできる,倉持,手作業,Gmail,,高,できる,倉持のまま,未決,,2026-08-22棚卸し,アドレス・パスワードはシートに書かない
WM-20,基盤,NextCloud／Xサーバー運用,常時,500GB中約140GB。ドメイン・サーバー代はチャプター,資料と動画の置き場,倉持,手作業＋自動バックアップ,NextCloud / Xサーバー,,高,一部できる,倉持のまま,未決,,2026-08-22棚卸し,個人アカウントとは分離済み
WM-21,基盤,サイト／WordPress,常時,独自ドメイン＋WP。Connectウィジェット（名簿・日程・コアバリュー・申込）,対外・メンバー向け案内,倉持,手作業,WordPress / NキャスConnect,,高,HTMLが書ければできる,倉持のまま,未決,,2026-08-22棚卸し,WMのConnect権限が要る
WM-22,基盤,メンバーリストPDF,更新のたび,プラグインで上げると固定URLが上書きされる,新入会への案内,倉持,手作業,WPプラグイン,,低,できる,倉持のまま,未決,,2026-08-22棚卸し,
WM-23,基盤,用語集（BNI＋IT）,保守,バイス時代に作った用語集をNキャスから参照,新メンバー,倉持（作成済）,手作業,Nキャス,,低,できる,倉持のまま,未決,,2026-08-22棚卸し,
WM-24,実験,メンバーリスト自動生成,週1実験中,Claude Codeをブラウザ経由で回す,名簿更新の省力,倉持,自動（実験）,Claude Code,,高,できる,倉持のまま,未決,,2026-08-22棚卸し,顔出し不可・所属非公開への配慮が要る
WM-25,停止中,Instagram連携,—,APIが古く動いていない,SNS導線,なし,停止,Instagram API,,—,—,停止中,やめる候補,,2026-08-22棚卸し,動いていない
WM-26,基盤,台本スプレッドシート保守,随時,IMPORTRANGE・絶対参照・軍司さん用簡易ビュー,司会とBOR,倉持,手作業,Googleスプレッドシート,,中,数式が分かればできる,倉持のまま,未決,,2026-08-22棚卸し,変数直打ちで数字ずれの件は未解決
WM-27,基盤,Claude Code Pipeline保守,障害時,動画切り出し・サーバー操作が止まったとき直す,自動化が続くこと,倉持,属人,Claude Code / XサーバーAPI,,高,倉持以外は難しい,倉持のまま,未決,,2026-08-22棚卸し,LTは誰でもできる状態に戻してほしい。障害対応者が論点
WM-28,基盤,Canva自動生成,随時,MCPでスライド／背景を自動生成,見た目の更新,倉持,自動,Canva MCP,,高,Canva手作業ならできる,倉持のまま,未決,,2026-08-22棚卸し,
WM-29,移行,旧Nキャス→新Nキャス,9月末目安,9系から110系へ移す。旧は重い・HTMLバグあり,メンバーがログインできる,倉持,手作業＋告知,Nキャス,,高,手順があればできる,倉持のまま,未決,10期終了前,2026-08-22棚卸し,新はビジターCSVアップロード予定
WM-30,移行,旧Nキャスへの告知,移行前,チャプター情報欄に新へ誘導する赤字HTML,誤ログイン防止,倉持,手作業,Nキャス HTML,,低,できる,倉持のまま,未決,移行前,2026-08-22棚卸し,
WM-31,移行,旧への誤登録チェック,移行後・日曜ごと予定,旧にビジターが付いていないか差分を見る,二重登録防止,倉持（予定）,自動予定,Claude Code / Nキャス,,中,手でもできる,倉持のまま,未決,移行後,2026-08-22棚卸し,まだ仕組みは予定
WM-32,移行,Nキャス権限の全面入れ替え,9月末最終定例会後,役職者の権限を11期へ付け替える,11期LTSTが触れる,倉持＋次廣,手作業,Nキャス,,中,できる,次廣習得中,未決,9月末以降,2026-08-22棚卸し,日程すり合わせが要る
WM-33,不定期,Nキャスアカウント払い出し,入会時,ログインを渡す,新メンバー,倉持,手作業,Nキャス,,中,できる,倉持のまま,未決,,工藤さん会／小中第3回,WMかメンターか未決。平文6桁はシートに書かない
WM-34,不定期,BOD後の定例会日程一括修正,BOD日程確定後,Nキャスのスケジュールをまとめて直す,年間の定例会回数,倉持,手作業,Nキャス,,中,できる,倉持のまま,未決,BOD確定後,2026-08-22棚卸し,
WM-35,不定期,チャプターGoogleカレンダー,近日〜,止まっている旧カレンダーに代え、Gmailで新規作成して全員が書けるようにする,休会日・イベントの共有,次廣,手作業,Googleカレンダー,,低,できる,次廣担当,未決,近日,2026-08-22棚卸し,休会例: 11/3・12/29・2/23
WM-36,不定期,虎の巻き掲載,完成後,芳賀・西浦作成の新入会資料のURLを出し、LINE公式からも落とす,新入会,芳賀・西浦→倉持または次廣,手作業,Nキャス / LINE,,低,できる,分担先へ,未決,完成後,2026-08-22棚卸し,
WM-37,協議,Claude Code月額の負担,未決,約3000円をチャプター負担にし、WM用PCに入れるか,自動化の継続,次廣・倉持→LTST,協議,Claude Code,,—,—,協議中,未決,,2026-08-22棚卸し,便利だけでは残さない（11期§9）
WM-38,改善要望,Nキャス平文パスワード,開発側へ,マスター画面に6桁が平文であることの改善依頼,セキュリティ,倉持→木下さん（要確認）,連絡,Nキャス,,低,—,倉持のまま,未決,,2026-08-22棚卸し,パスワード自体は書かない。変えない運用中
WM-39,当日（未配備）,並行スライド操作,定例会中,操作担当に加え、同じページをもう1台で動かし続け、切断時にすぐ切替える,定例会が止まらない,なし（工藤時代はWM本人）,手作業,PowerPoint 2台,,中,できる,未配備,未決,,工藤さん会,今夜の倉持棚卸しでも未配備
WM-40,基盤,マスターパスワード置き場,近日,WMフォルダ（閲覧制限）へ置く方針だけ決める。中身は議事録・本CSVに書かない,倉持不在でも入れる,倉持→次廣,手作業,NextCloud WMフォルダ,,高,できる,倉持のまま,未決,,2026-08-22棚卸し,秘密はここに書かない
WM-41,個人・良かれ,翌週定例会フォルダの自動作成,毎週火曜13時,次回開催日のNextCloudフォルダを自動で作る。モメンタム等は手動でフォルダ名を変える,STが迷わずスライドを上げられる,倉持,自動＋例外は手,NextCloud / Claude Code,,中,できる,倉持のまま,未決,,2026-06-03一部引継ぎ,公式の毎週作業というより倉持さんが足した仕組み
WM-42,個人・良かれ,スライド統合のPython自動化,実験／随時,Claude CodeのPythonで朝礼スライドを結合する。処理が遅い,手作業の短縮。会全体,倉持,自動（遅い）,Claude Code / Python,,高,できる（WM-01が手作業）,倉持のまま,未決,,2026-06-03一部引継ぎ,08-22では朝礼統合は手作業。この自動化が今も本番かは倉持さん確認
WM-43,個人・良かれ,ノートセリフ抽出,定例会前,スライドのノート欄の台詞を抜き、切り替えタイミングの判断材料にする,スライド送り担当,倉持,自動,Claude Code,,高,ノートを目で読めばできる,倉持のまま,未決,,2026-06-03一部引継ぎ,送りの属人化を減らす意図。工藤案の手作業とは別系統
WM-44,個人・良かれ,台本とスライドの数字照合,定例会前,台本の数字とスライドの数字の不一致を自動で見つける,司会の読み上げミス防止,倉持（次廣も外部ツールあり）,自動,Claude Code,,高,目視でもできる,倉持のまま,未決,,2026-06-03一部引継ぎ,変数直打ちずれ（WM-26）とは別。照合ツール側
WM-45,個人・良かれ,ビジター部屋割り表,定例会前日の夜,部屋割り表を作る。夜に決まるため倉持さんが持ち続けている,BOR・ビジターホスト,倉持,手作業,スプレッドシート / 台本,,中,できる,倉持のまま,未決,,2026-06-03一部引継ぎ,WM-10の当日割り当てとは別。表そのものを作る作業
WM-46,個人・良かれ,過去メンバーリスト蓄積,各期末＋随時,6期からの名簿をマスターとして残し、期末スナップショットも置く,あの時期の役職を遡る。LTST／メンシ,倉持,手作業,スプレッドシート / NextCloud,,中,できる,倉持のまま,未決,,2026-08-22棚卸し,便利だが誰が保守するかは未決
WM-47,個人・良かれ,NextCloudのログインなし閲覧,常時,全アカウントはあるが使われないので、ログインしなくても触れる設定にしている,毎回ログインする手間を減らす。メンバー,倉持,手作業（設定）,NextCloud,,高,ログイン必須に戻せる,倉持のまま,未決,,2026-08-22棚卸し,便利優先。閲覧範囲の判断は未決
WM-48,個人・良かれ,ショップ／チームモール独立構築,依頼あり,旧Nキャスのショップを切り離し、チームモール的な仕組みを別に作る依頼が倉持さんにある,ショップ起因の重さ・ログイン不能バグを避ける,倉持（詳細はカテゴリー担当）,未着手〜協議,Nキャス外,,高,ショップ無しでも定例会は回る,倉持のまま,未決,,2026-08-22棚卸し,WM必須ではない。詳細はカテゴリー担当が切る
WM-49,個人・良かれ,文字起こしをNextCloudへ,会後（案）,レコーディング切り忘れ対策として、文字起こしもNextCloudに置くと管理精度が上がる、という話,録画漏れの検知。WM,倉持,案（実施は要確認）,Zoom / NextCloud,,中,できる,倉持のまま,未決,,2026-08-22棚卸し,文字起こし上は提案。毎週やっているかは未確認
WM-50,個人・良かれ,リハ中のLTスライド直し,月曜夜リハーサル,提出が直前になる分を、倉持さんがリハの場で直している,発表が止まらない,倉持,手作業,PowerPoint / Zoom,,高,できる（リハが初回編集になる）,倉持のまま,未決,,工藤さん会,WM-04の確認を超えた穴埋め。工藤さんはこれをやめる型
WM-51,個人・良かれ,来ているST／来ていないSTの把握,朝礼前,どのSTがスライドを出したかを倉持さんだけが見ている,朝礼確認。LTST,倉持,手作業,NextCloud,,高,フォルダを見ればできる,倉持のまま,未決,,小中第3回,属人化が深刻、と小中さん会で出た
WM-52,個人・良かれ,バイス用マスターシート,随時,メンバー一覧・統計・役職履歴・推薦履歴を持ち、台本のプルダウン元にもしている,バイス／台本／履歴照会,倉持,手作業＋数式,Googleスプレッドシート,,高,シートがあればできる,倉持のまま,未決,,小中第3回,退会すると台本も連鎖破綻する、という指摘。WM-03/26の上流
WM-53,個人・良かれ,期アーカイブ整理,期末,第5期〜第9期をアーカイブし、第10期を現行にする,過去資料と現行を分ける,倉持,手作業,NextCloud,,中,できる,倉持のまま,未決,,2026-06-03一部引継ぎ,容量140GBの内訳の一部
WM-54,個人・良かれ,1to1の自動記録,随時（個人）,ObsidianとClaude Codeで1to1を自動記録する。チャプター共有は構想のみ,自分の記録。将来は推薦だけ出す案,倉持（個人）,自動,Obsidian / Claude Code,,高,手でメモすればできる,倉持のまま,未決,,2026-06-03一部引継ぎ,WM業務ではない。チャプター資産にするかは未決。秘密は書かない
